 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.000000000     0.000000000
     2     0.000000000     0.000006347      0.000000000     0.000000000
     3     0.000000000     0.000005578      0.000000000     0.000000000
     4     0.000000000     0.000004272      0.000000000     0.000000000
     5     0.000000000     0.000007983      0.000000000     0.000000000
     6     0.000000000     0.000022745      0.000000000     0.000000000
     7    -0.000042962    -0.000026015      0.000000000     0.000000000
     8     0.000001692    -0.000012308      0.000000000     0.000000000
     9     0.000025931    -0.000003181      0.000000000     0.000000000
    10     0.000029165     0.000007299      0.000000000     0.000000000
    11     0.000010083     0.000024969      0.000000000     0.000000000
    12    -0.000036560     0.000057156      0.000000000     0.000000000
    13    -0.000071080    -0.000108796      0.000000000     0.000000000
    14     0.000021621    -0.000069045      0.000000000     0.000000000
    15     0.000073338    -0.000029405      0.000000000     0.000000000
    16     0.000083934     0.000015744      0.000000000     0.000000000
    17     0.000050903     0.000072684      0.000000000     0.000000000
    18    -0.000033277     0.000149335      0.000000000     0.000000000
    19    -0.000060244    -0.000252539      0.000000000     0.000000000
    20     0.000082237    -0.000165376      0.000000000     0.000000000
    21     0.000163778    -0.000074268      0.000000000     0.000000000
    22     0.000185015     0.000026639      0.000000000     0.000000000
    23     0.000142843     0.000143660      0.000000000     0.000000000
    24     0.000029984     0.000283693      0.000000000     0.000000000
    25     0.000010589    -0.000456067      0.000000000     0.000000000
    26     0.000203101    -0.000302261      0.000000000     0.000000000
    27     0.000316484    -0.000140341      0.000000000     0.000000000
    28     0.000351539     0.000035239      0.000000000     0.000000000
    29     0.000305318     0.000230457      0.000000000     0.000000000
    30     0.000171103     0.000451599      0.000000000     0.000000000
    31     0.000159786    -0.000718179      0.000000000     0.000000000
    32     0.000402232    -0.000480206      0.000000000     0.000000000
    33     0.000549090    -0.000230167      0.000000000     0.000000000
    34     0.000601108     0.000037054      0.000000000     0.000000000
    35     0.000555596     0.000326988      0.000000000     0.000000000
    36     0.000406462     0.000645373      0.000000000     0.000000000
    37     0.000403792    -0.001037897      0.000000000     0.000000000
    38     0.000696085    -0.000699826      0.000000000     0.000000000
    39     0.000877854    -0.000346031      0.000000000     0.000000000
    40     0.000949742     0.000028168      0.000000000     0.000000000
    41     0.000909303     0.000427837      0.000000000     0.000000000
    42     0.000751031     0.000858218      0.000000000     0.000000000
    43     0.000757543    -0.001414471      0.000000000     0.000000000
    44     0.001099659    -0.000961784      0.000000000     0.000000000
    45     0.001317648    -0.000490023      0.000000000     0.000000000
    46     0.001412058     0.000005087      0.000000000     0.000000000
    47     0.001380660     0.000528173      0.000000000     0.000000000
    48     0.001218469     0.001084016      0.000000000     0.000000000
    49     0.001234669    -0.001847295      0.000000000     0.000000000
    50     0.001626631    -0.001266746      0.000000000     0.000000000
    51     0.001882052    -0.000664063      0.000000000     0.000000000
    52     0.002001401    -0.000035342      0.000000000     0.000000000
    53     0.001982644     0.000623641      0.000000000     0.000000000
    54     0.001821261     0.001317248      0.000000000     0.000000000
    55     0.001847626    -0.002335858      0.000000000     0.000000000
    56     0.002289485    -0.001615349      0.000000000     0.000000000
    57     0.002583458    -0.000869914      0.000000000     0.000000000
    58     0.002729954    -0.000095984      0.000000000     0.000000000
    59     0.002727112     0.000710295      0.000000000     0.000000000
    60     0.002570824     0.001552907      0.000000000     0.000000000
    61     0.002607803    -0.002879719      0.000000000     0.000000000
    62     0.003099625    -0.002008195      0.000000000     0.000000000
    63     0.003433190    -0.001109193      0.000000000     0.000000000
    64     0.003608848    -0.000179453      0.000000000     0.000000000
    65     0.003624900     0.000784548      0.000000000     0.000000000
    66     0.003477606     0.001786447      0.000000000     0.000000000
    67     0.003525616    -0.003478497      0.000000000     0.000000000
    68     0.004067482    -0.002445844      0.000000000     0.000000000
    69     0.004441596    -0.001383383      0.000000000     0.000000000
    70     0.004648262    -0.000288130      0.000000000     0.000000000
    71     0.004685922     0.000843132      0.000000000     0.000000000
    72     0.004551173     0.002013730      0.000000000     0.000000000
    73     0.004610597    -0.004131860      0.000000000     0.000000000
    74     0.005202597    -0.002928822      0.000000000     0.000000000
    75     0.005618149    -0.001693844      0.000000000     0.000000000
    76     0.005857511    -0.000424196      0.000000000     0.000000000
    77     0.005919256     0.000883068      0.000000000     0.000000000
    78     0.005800285     0.002230985      0.000000000     0.000000000
    79     0.005871477    -0.004839527      0.000000000     0.000000000
    80     0.006513711    -0.003457621      0.000000000     0.000000000
    81     0.006971526    -0.002041825      0.000000000     0.000000000
    82     0.007245132    -0.000589639      0.000000000     0.000000000
    83     0.007333221     0.000901637      0.000000000     0.000000000
    84     0.007232972     0.002434780      0.000000000     0.000000000
    85     0.007316256    -0.005601262      0.000000000     0.000000000
    86     0.008008839    -0.004032707      0.000000000     0.000000000
    87     0.008509686    -0.002428479      0.000000000     0.000000000
    88     0.008818957    -0.000786282      0.000000000     0.000000000
    89     0.008935449     0.000896359      0.000000000     0.000000000
    90     0.008856604     0.002621991      0.000000000     0.000000000
    91     0.008952273    -0.006416874      0.000000000     0.000000000
    92     0.009695338    -0.004654523      0.000000000     0.000000000
    93     0.010239940    -0.002854866      0.000000000     0.000000000
    94     0.010586181    -0.001015792      0.000000000     0.000000000
    95     0.010732953     0.000864976      0.000000000     0.000000000
    96     0.010677947     0.002789775      0.000000000     0.000000000
    97     0.010786264    -0.007286226      0.000000000     0.000000000
    98     0.011579973    -0.005323501      0.000000000     0.000000000
    99     0.012169014    -0.003321972      0.000000000     0.000000000
   100     0.012553426    -0.001279693      0.000000000     0.000000000
   101     0.012732186     0.000805431      0.000000000     0.000000000
   102     0.012703223     0.002935552      0.000000000     0.000000000
   103     0.012824423    -0.008209248      0.000000000     0.000000000
   104     0.013668975    -0.006040080      0.000000000     0.000000000
   105     0.014303100    -0.003830721      0.000000000     0.000000000
   106     0.014726791    -0.001579374      0.000000000     0.000000000
   107     0.014939102     0.000715875      0.000000000     0.000000000
   108     0.014938163     0.003057005      0.000000000     0.000000000
   109     0.015072473    -0.009185966      0.000000000     0.000000000
   110     0.015968101    -0.006804746      0.000000000     0.000000000
   111     0.016647886    -0.004382000      0.000000000     0.000000000
   112     0.017111878    -0.001916082      0.000000000     0.000000000
   113     0.017359205     0.000594677      0.000000000     0.000000000
   114     0.017388071     0.003152087      0.000000000     0.000000000
   115     0.017535788    -0.010216543      0.000000000     0.000000000
   116     0.018482688    -0.007618072      0.000000000     0.000000000
   117     0.019208538    -0.004976679      0.000000000     0.000000000
   118     0.019713781    -0.002290924      0.000000000     0.000000000
   119     0.019997607     0.000440456      0.000000000     0.000000000
   120     0.020057951     0.003219040      0.000000000     0.000000000
   121     0.020219623    -0.011301259      0.000000000     0.000000000
   122     0.021217712    -0.008480725      0.000000000     0.000000000
   123     0.021989622    -0.005615629      0.000000000     0.000000000
   124     0.022536993    -0.002704864      0.000000000     0.000000000
   125     0.022859080     0.000252059      0.000000000     0.000000000
   126     0.022952735     0.003256360      0.000000000     0.000000000
