 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1 *************** ***************      0.000000000     0.000000000
     2 *************** ***************      0.000000000     0.000000000
     3 *************** ***************      0.000000000     0.000000000
     4 *************** ***************      0.000000000     0.000000000
     5 *************** ***************      0.000000000     0.000000000
     6 *************** ***************      0.000000000     0.000000000
     7 *************** ***************      0.000000000     0.000000000
     8 *************** ***************      0.000000000     0.000000000
     9 *************** ***************      0.000000000     0.000000000
    10 *************** ***************      0.000000000     0.000000000
    11 *************** ***************      0.000000000     0.000000000
    12 *************** ***************      0.000000000     0.000000000
    13 *************** ***************      0.000000000     0.000000000
    14 *************** ***************      0.000000000     0.000000000
    15 *************** ***************      0.000000000     0.000000000
    16 -9639.905067707 ***************      0.000000000     0.000000000
    17 *************** ***************      0.000000000     0.000000000
    18 *************** ***************      0.000000000     0.000000000
    19 -9745.270019197 ***************      0.000000000     0.000000000
    20 -8105.305260570 ***************      0.000000000     0.000000000
    21 *************** ***************      0.000000000     0.000000000
    22 *************** ***************      0.000000000     0.000000000
    23 -8392.451502390 ***************      0.000000000     0.000000000
    24 -6638.696446760 ***************      0.000000000     0.000000000
    25 *************** ***************      0.000000000     0.000000000
    26 *************** ***************      0.000000000     0.000000000
    27 -7103.107323620 ***************      0.000000000     0.000000000
    28 -5260.545860229 ***************      0.000000000     0.000000000
    29 *************** ***************      0.000000000     0.000000000
    30 *************** ***************      0.000000000     0.000000000
    31 -5893.036924254 ***************      0.000000000     0.000000000
    32 -3983.989951885 ***************      0.000000000     0.000000000
    33 *************** ***************      0.000000000     0.000000000
    34 *************** ***************      0.000000000     0.000000000
    35 -1798.295479104 ***************      0.000000000     0.000000000
    36 -2933.227959149 ***************      0.000000000     0.000000000
    37 -4772.654121055 ***************      0.000000000     0.000000000
    38 -2812.417210140 ***************      0.000000000     0.000000000
    39 -8926.657669415 ***************      0.000000000     0.000000000
    40 *************** ***************      0.000000000     0.000000000
    41  -744.442264623 ***************      0.000000000     0.000000000
    42 -1295.888535607 ***************      0.000000000     0.000000000
    43 -2125.086249467 ***************      0.000000000     0.000000000
    44 -2701.978311128 ***************      0.000000000     0.000000000
    45 -3912.090586611 ***************      0.000000000     0.000000000
    46 -3722.996906149 ***************      0.000000000     0.000000000
    47 -9865.674139899 ***************      0.000000000     0.000000000
    48 -4923.152843238 ***************      0.000000000     0.000000000
    49 -7744.410043823 ***************      0.000000000     0.000000000
    50 -6563.234905542 ***************      0.000000000     0.000000000
    51 -9023.839304285 ***************      0.000000000     0.000000000
    52 -8303.676171679 ***************      0.000000000     0.000000000
    53   441.683300632 ***************      0.000000000     0.000000000
    54  -521.746825033 ***************      0.000000000     0.000000000
    55 -2013.260862857 ***************      0.000000000     0.000000000
    56 -5089.693068139 ***************      0.000000000     0.000000000
    57 -3613.600548741 ***************      0.000000000     0.000000000
    58 -6747.217274242 ***************      0.000000000     0.000000000
    59 -7466.299883314 ***************      0.000000000     0.000000000
    60 -2376.582337231 ***************      0.000000000     0.000000000
    61  1701.116919805 ***************      0.000000000     0.000000000
    62   179.559596173 ***************      0.000000000     0.000000000
    63 -1314.908530484 ***************      0.000000000     0.000000000
    64 -4912.175973565 ***************      0.000000000     0.000000000
    65 -3217.235423223 ***************      0.000000000     0.000000000
    66 -6639.791924211 ***************      0.000000000     0.000000000
    67 -2644.876958906 -9985.316763277      0.000000000     0.000000000
    68 -1312.050607754 -9919.132827987      0.000000000     0.000000000
    69  2942.701517192 ***************      0.000000000     0.000000000
    70   910.608352702 ***************      0.000000000     0.000000000
    71  -620.947236266 ***************      0.000000000     0.000000000
    72 -5810.548392267 -8684.739148707      0.000000000     0.000000000
    73 -3600.657700531 -8580.914486925      0.000000000     0.000000000
    74  -517.468281585 -7657.371639639      0.000000000     0.000000000
    75  4051.900108115 ***************      0.000000000     0.000000000
    76  1578.299733732 -9278.028180697      0.000000000     0.000000000
    77    -8.960383043 -8518.324253127      0.000000000     0.000000000
    78 -5060.460374203 -6329.378732151      0.000000000     0.000000000
