 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.000000000     0.000000000      0.000000000     0.000000000
     2     0.000000000     0.049655000      0.000000000     0.000000000
     3     0.000000000     0.102040000      0.000000000     0.000000000
     4     0.000000000     0.124655000      0.000000000     0.000000000
     5     0.000000000     0.150000000      0.000000000     0.000000000
     6     0.055700000     0.004550000      0.000000000     0.000000000
     7     0.046600000     0.054205000      0.000000000     0.000000000
     8     0.037500000     0.106590000      0.000000000     0.000000000
     9     0.028400000     0.129205000      0.000000000     0.000000000
    10     0.019300000     0.154550000      0.000000000     0.000000000
    11     0.111400000     0.018200000      0.000000000     0.000000000
    12     0.093200000     0.067855000      0.000000000     0.000000000
    13     0.075000000     0.120240000      0.000000000     0.000000000
    14     0.056800000     0.142855000      0.000000000     0.000000000
    15     0.038600000     0.168200000      0.000000000     0.000000000
    16     0.167100000     0.040950000      0.000000000     0.000000000
    17     0.139800000     0.090605000      0.000000000     0.000000000
    18     0.112500000     0.142990000      0.000000000     0.000000000
    19     0.085200000     0.165605000      0.000000000     0.000000000
    20     0.057900000     0.190950000      0.000000000     0.000000000
    21     0.222800000     0.072800000      0.000000000     0.000000000
    22     0.186400000     0.122455000      0.000000000     0.000000000
    23     0.150000000     0.174840000      0.000000000     0.000000000
    24     0.113600000     0.197455000      0.000000000     0.000000000
    25     0.077200000     0.222800000      0.000000000     0.000000000
    26     0.278500000     0.113750000      0.000000000     0.000000000
    27     0.233000000     0.163405000      0.000000000     0.000000000
    28     0.187500000     0.215790000      0.000000000     0.000000000
    29     0.142000000     0.238405000      0.000000000     0.000000000
    30     0.096500000     0.263750000      0.000000000     0.000000000
    31     0.334200000     0.163800001      0.000000000     0.000000000
    32     0.279600000     0.213455001      0.000000000     0.000000000
    33     0.225000000     0.265840001      0.000000000     0.000000000
    34     0.170400000     0.288455001      0.000000000     0.000000000
    35     0.115800000     0.313800001      0.000000000     0.000000000
    36     0.389900000     0.222950001      0.000000000     0.000000000
    37     0.326200000     0.272605001      0.000000000     0.000000000
    38     0.262500000     0.324990001      0.000000000     0.000000000
    39     0.198800000     0.347605001      0.000000000     0.000000000
    40     0.135100000     0.372950001      0.000000000     0.000000000
    41     0.445600000     0.291200001      0.000000000     0.000000000
    42     0.372800000     0.340855001      0.000000000     0.000000000
    43     0.300000000     0.393240001      0.000000000     0.000000000
    44     0.227200000     0.415855001      0.000000000     0.000000000
    45     0.154400000     0.441200001      0.000000000     0.000000000
    46     0.501300001     0.368550001      0.000000000     0.000000000
    47     0.419400000     0.418205001      0.000000000     0.000000000
    48     0.337500000     0.470590001      0.000000000     0.000000000
    49     0.255600000     0.493205001      0.000000000     0.000000000
    50     0.173699999     0.518550001      0.000000000     0.000000000
    51     0.557000001     0.455000001      0.000000000     0.000000000
    52     0.466000000     0.504655001      0.000000000     0.000000000
    53     0.375000000     0.557040001      0.000000000     0.000000000
    54     0.284000000     0.579655001      0.000000000     0.000000000
    55     0.192999999     0.605000001      0.000000000     0.000000000
    56     0.612700001     0.550550002      0.000000000     0.000000000
    57     0.512600000     0.600205002      0.000000000     0.000000000
    58     0.412500000     0.652590002      0.000000000     0.000000000
    59     0.312400000     0.675205002      0.000000000     0.000000000
    60     0.212299999     0.700550002      0.000000000     0.000000000
    61     0.668400001     0.655200002      0.000000000     0.000000000
    62     0.559200000     0.704855002      0.000000000     0.000000000
    63     0.450000000     0.757240002      0.000000000     0.000000000
    64     0.340800000     0.779855002      0.000000000     0.000000000
    65     0.231599999     0.805200002      0.000000000     0.000000000
    66     0.724100001     0.768950002      0.000000000     0.000000000
    67     0.605800000     0.818605002      0.000000000     0.000000000
    68     0.487500000     0.870990002      0.000000000     0.000000000
    69     0.369200000     0.893605002      0.000000000     0.000000000
    70     0.250899999     0.918950002      0.000000000     0.000000000
    71     0.779800001     0.891800003      0.000000000     0.000000000
    72     0.652400000     0.941455003      0.000000000     0.000000000
    73     0.525000000     0.993840003      0.000000000     0.000000000
    74     0.397600000     1.016455003      0.000000000     0.000000000
    75     0.270199999     1.041800003      0.000000000     0.000000000
    76     0.835500001     1.023750003      0.000000000     0.000000000
    77     0.699000000     1.073405003      0.000000000     0.000000000
    78     0.562500000     1.125790003      0.000000000     0.000000000
    79     0.426000000     1.148405003      0.000000000     0.000000000
    80     0.289499999     1.173750003      0.000000000     0.000000000
    81     0.891200001     1.164800004      0.000000000     0.000000000
    82     0.745600000     1.214455004      0.000000000     0.000000000
    83     0.600000000     1.266840004      0.000000000     0.000000000
    84     0.454400000     1.289455004      0.000000000     0.000000000
    85     0.308799999     1.314800004      0.000000000     0.000000000
    86     0.946900001     1.314950004      0.000000000     0.000000000
    87     0.792200000     1.364605004      0.000000000     0.000000000
    88     0.637500000     1.416990004      0.000000000     0.000000000
    89     0.482800000     1.439605004      0.000000000     0.000000000
    90     0.328099999     1.464950004      0.000000000     0.000000000
    91     1.002600001     1.474200005      0.000000000     0.000000000
    92     0.838800001     1.523855005      0.000000000     0.000000000
    93     0.675000000     1.576240005      0.000000000     0.000000000
    94     0.511199999     1.598855005      0.000000000     0.000000000
    95     0.347399999     1.624200005      0.000000000     0.000000000
    96     1.058300001     1.642550005      0.000000000     0.000000000
    97     0.885400001     1.692205005      0.000000000     0.000000000
    98     0.712500000     1.744590005      0.000000000     0.000000000
    99     0.539599999     1.767205005      0.000000000     0.000000000
   100     0.366699999     1.792550005      0.000000000     0.000000000
   101     1.114000001     1.820000006      0.000000000     0.000000000
   102     0.932000001     1.869655006      0.000000000     0.000000000
   103     0.750000000     1.922040006      0.000000000     0.000000000
   104     0.567999999     1.944655006      0.000000000     0.000000000
   105     0.385999999     1.970000006      0.000000000     0.000000000
   106     1.169700001     2.006550006      0.000000000     0.000000000
   107     0.978600001     2.056205006      0.000000000     0.000000000
   108     0.787500000     2.108590006      0.000000000     0.000000000
   109     0.596399999     2.131205006      0.000000000     0.000000000
   110     0.405299999     2.156550006      0.000000000     0.000000000
   111     1.225400001     2.202200007      0.000000000     0.000000000
   112     1.025200001     2.251855007      0.000000000     0.000000000
   113     0.825000000     2.304240007      0.000000000     0.000000000
   114     0.624799999     2.326855007      0.000000000     0.000000000
   115     0.424599999     2.352200007      0.000000000     0.000000000
   116     1.281100001     2.406950008      0.000000000     0.000000000
   117     1.071800001     2.456605008      0.000000000     0.000000000
   118     0.862500000     2.508990008      0.000000000     0.000000000
   119     0.653199999     2.531605008      0.000000000     0.000000000
   120     0.443899999     2.556950008      0.000000000     0.000000000
   121     1.336800001     2.620800008      0.000000000     0.000000000
   122     1.118400001     2.670455008      0.000000000     0.000000000
   123     0.900000000     2.722840008      0.000000000     0.000000000
   124     0.681599999     2.745455008      0.000000000     0.000000000
   125     0.463199999     2.770800008      0.000000000     0.000000000
   126     1.392500001     2.843750009      0.000000000     0.000000000
   127     1.165000001     2.893405009      0.000000000     0.000000000
   128     0.937500000     2.945790009      0.000000000     0.000000000
   129     0.709999999     2.968405009      0.000000000     0.000000000
   130     0.482499999     2.993750009      0.000000000     0.000000000
   131     1.448200002     3.075800010      0.000000000     0.000000000
   132     1.211600001     3.125455010      0.000000000     0.000000000
   133     0.975000000     3.177840010      0.000000000     0.000000000
   134     0.738399999     3.200455010      0.000000000     0.000000000
   135     0.501799998     3.225800010      0.000000000     0.000000000
   136     1.503900002     3.316950011      0.000000000     0.000000000
