 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
     1     0.005520380    -0.007746052      0.000000000     0.000000000
     2     0.005763284    -0.007521504      0.000000000     0.000000000
     3     0.005637158    -0.007390150      0.000000000     0.000000000
     4     0.005428446    -0.007450455      0.000000000     0.000000000
     5     0.005950901    -0.007244084      0.000000000     0.000000000
     6     0.005725661    -0.007115878      0.000000000     0.000000000
     7     0.005455047    -0.007114043      0.000000000     0.000000000
     8     0.006225168    -0.006036502      0.000000000     0.000000000
     9     0.006183616    -0.005886520      0.000000000     0.000000000
    10     0.006286035    -0.006099545      0.000000000     0.000000000
    11     0.006418570    -0.006132382      0.000000000     0.000000000
    12     0.006337073    -0.005976230      0.000000000     0.000000000
    13     0.006123579    -0.006959487      0.000000000     0.000000000
    14     0.006284998    -0.006669441      0.000000000     0.000000000
    15     0.006416023    -0.006370573      0.000000000     0.000000000
    16     0.005842087    -0.006804798      0.000000000     0.000000000
    17     0.005504841    -0.006780892      0.000000000     0.000000000
    18     0.006084690    -0.006020056      0.000000000     0.000000000
    19     0.005969951    -0.005844983      0.000000000     0.000000000
    20     0.006251482    -0.006326746      0.000000000     0.000000000
    21     0.006259859    -0.006195137      0.000000000     0.000000000
    22     0.006033274    -0.006458187      0.000000000     0.000000000
    23     0.005566949    -0.006448566      0.000000000     0.000000000
    24     0.005882239    -0.006037898      0.000000000     0.000000000
    25     0.005714124    -0.005835326      0.000000000     0.000000000
    26     0.006101874    -0.006067358      0.000000000     0.000000000
    27     0.005641857    -0.006101914      0.000000000     0.000000000
    28     0.005636320    -0.006079110      0.000000000     0.000000000
    29     0.005432214    -0.005851161      0.000000000     0.000000000
    30     0.006249511    -0.005671811      0.000000000     0.000000000
    31     0.005761083    -0.005699722      0.000000000     0.000000000
    32     0.005363765    -0.006132838      0.000000000     0.000000000
    33     0.005140620    -0.005882869      0.000000000     0.000000000
    34     0.006507966    -0.005194039      0.000000000     0.000000000
    35     0.005980297    -0.005218124      0.000000000     0.000000000
    36     0.005079716    -0.006198502      0.000000000     0.000000000
    37     0.004853449    -0.005922064      0.000000000     0.000000000
    38     0.006851077    -0.004622874      0.000000000     0.000000000
    39     0.006302209    -0.004665850      0.000000000     0.000000000
    40     0.004524286    -0.006294924      0.000000000     0.000000000
    41     0.004796315    -0.006256460      0.000000000     0.000000000
    42     0.004582186    -0.005960739      0.000000000     0.000000000
    43     0.007263305    -0.003972644      0.000000000     0.000000000
    44     0.006646237    -0.004000325      0.000000000     0.000000000
    45     0.004274904    -0.006323952      0.000000000     0.000000000
    46     0.004232636    -0.006191701      0.000000000     0.000000000
    47     0.004330323    -0.006000053      0.000000000     0.000000000
    48     0.007717734    -0.003269280      0.000000000     0.000000000
    49     0.007050506    -0.003275650      0.000000000     0.000000000
    50     0.004045131    -0.006329334      0.000000000     0.000000000
    51     0.004056672    -0.006185136      0.000000000     0.000000000
    52     0.004120763    -0.006018671      0.000000000     0.000000000
    53     0.008185917    -0.002543525      0.000000000     0.000000000
    54     0.007488779    -0.002524073      0.000000000     0.000000000
    55     0.003835595    -0.006314889      0.000000000     0.000000000
    56     0.003875989    -0.006184209      0.000000000     0.000000000
    57     0.003927661    -0.006028162      0.000000000     0.000000000
    58     0.008639578    -0.001824768      0.000000000     0.000000000
    59     0.007934932    -0.001779300      0.000000000     0.000000000
    60     0.003650327    -0.006281147      0.000000000     0.000000000
    61     0.003695065    -0.006166223      0.000000000     0.000000000
    62     0.003763607    -0.006023281      0.000000000     0.000000000
    63     0.009053319    -0.001139403      0.000000000     0.000000000
    64     0.008364669    -0.001072778      0.000000000     0.000000000
    65     0.003488385    -0.006227814      0.000000000     0.000000000
    66     0.003543613    -0.006130849      0.000000000     0.000000000
    67     0.003626386    -0.006003662      0.000000000     0.000000000
    68     0.009406846    -0.000509012      0.000000000     0.000000000
    69     0.008757192    -0.000430872      0.000000000     0.000000000
    70     0.003349327    -0.006156042      0.000000000     0.000000000
    71     0.003415908    -0.006077854      0.000000000     0.000000000
    72     0.003515363    -0.005968715      0.000000000     0.000000000
    73     0.009686293     0.000050758      0.000000000     0.000000000
    74     0.009096499     0.000127158      0.000000000     0.000000000
    75     0.003232148    -0.006066877      0.000000000     0.000000000
    76     0.003313206    -0.006009130      0.000000000     0.000000000
    77     0.003428817    -0.005918577      0.000000000     0.000000000
    78     0.009884330     0.000530406      0.000000000     0.000000000
    79     0.009371987     0.000589838      0.000000000     0.000000000
    80     0.003135533    -0.005961607      0.000000000     0.000000000
    81     0.003231969    -0.005924730      0.000000000     0.000000000
    82     0.003365021    -0.005853613      0.000000000     0.000000000
    83     0.009999424     0.000926268      0.000000000     0.000000000
    84     0.009578249     0.000952608      0.000000000     0.000000000
    85     0.003058150    -0.005841414      0.000000000     0.000000000
    86     0.003170300    -0.005824961      0.000000000     0.000000000
    87     0.003322106    -0.005774437      0.000000000     0.000000000
    88     0.010033407     0.001237532      0.000000000     0.000000000
    89     0.009714509     0.001218103      0.000000000     0.000000000
    90     0.003126006    -0.005707880      0.000000000     0.000000000
    91     0.002998106    -0.005707995      0.000000000     0.000000000
    92     0.003297845    -0.005681903      0.000000000     0.000000000
    93     0.003293676    -0.005575862      0.000000000     0.000000000
    94     0.009780530     0.001379997      0.000000000     0.000000000
    95     0.009999024     0.001479981      0.000000000     0.000000000
    96     0.002954293    -0.005561312      0.000000000     0.000000000
    97     0.003090402    -0.005565337      0.000000000     0.000000000
    98     0.003180541    -0.005458498      0.000000000     0.000000000
    99     0.003298985    -0.005454383      0.000000000     0.000000000
   100     0.009854592     0.001550869      0.000000000     0.000000000
   101     0.009774655     0.001484798      0.000000000     0.000000000
   102     0.009858299     0.001617321      0.000000000     0.000000000
   103     0.009896397     0.001625436      0.000000000     0.000000000
   104     0.002925852    -0.005406571      0.000000000     0.000000000
   105     0.003034115    -0.005399246      0.000000000     0.000000000
   106     0.003160759    -0.005347648      0.000000000     0.000000000
   107     0.003316090    -0.005322754      0.000000000     0.000000000
   108     0.009719805     0.001518279      0.000000000     0.000000000
   109     0.009759584     0.001637816      0.000000000     0.000000000
   110     0.009769231     0.001729435      0.000000000     0.000000000
   111     0.002910459    -0.005244588      0.000000000     0.000000000
   112     0.003025692    -0.005236893      0.000000000     0.000000000
   113     0.003167352    -0.005210209      0.000000000     0.000000000
   114     0.003341849    -0.005185299      0.000000000     0.000000000
   115     0.009630347     0.001509824      0.000000000     0.000000000
   116     0.009630125     0.001667853      0.000000000     0.000000000
   117     0.009604006     0.001798301      0.000000000     0.000000000
   118     0.002903244    -0.005076579      0.000000000     0.000000000
   119     0.003030152    -0.005075644      0.000000000     0.000000000
   120     0.003183952    -0.005059708      0.000000000     0.000000000
   121     0.003376475    -0.005039462      0.000000000     0.000000000
   122     0.009508052     0.001462961      0.000000000     0.000000000
   123     0.009469311     0.001659051      0.000000000     0.000000000
   124     0.009410804     0.001826310      0.000000000     0.000000000
   125     0.002904239    -0.004902339      0.000000000     0.000000000
   126     0.003042748    -0.004909529      0.000000000     0.000000000
   127     0.003207731    -0.004901120      0.000000000     0.000000000
   128     0.003418137    -0.004886378      0.000000000     0.000000000
   129     0.009359440     0.001385829      0.000000000     0.000000000
   130     0.009288197     0.001597088      0.000000000     0.000000000
   131     0.009195439     0.001823436      0.000000000     0.000000000
   132     0.002912639    -0.004722770      0.000000000     0.000000000
   133     0.003063344    -0.004738149      0.000000000     0.000000000
   134     0.003241145    -0.004738019      0.000000000     0.000000000
   135     0.003465606    -0.004726929      0.000000000     0.000000000
   136     0.009187627     0.001287590      0.000000000     0.000000000
   137     0.009111194     0.001434491      0.000000000     0.000000000
   138     0.009046954     0.001588455      0.000000000     0.000000000
   139     0.008966902     0.001796094      0.000000000     0.000000000
   140     0.002927437    -0.004538769      0.000000000     0.000000000
   141     0.003091930    -0.004561479      0.000000000     0.000000000
   142     0.003286672    -0.004567588      0.000000000     0.000000000
   143     0.003517761    -0.004561692      0.000000000     0.000000000
   144     0.002947681    -0.004350661      0.000000000     0.000000000
   145     0.008998129     0.001172893      0.000000000     0.000000000
   146     0.008925798     0.001338536      0.000000000     0.000000000
   147     0.008828643     0.001536562      0.000000000     0.000000000
   148     0.008729282     0.001746729      0.000000000     0.000000000
   149     0.003126975    -0.004387407      0.000000000     0.000000000
   150     0.003336280    -0.004387601      0.000000000     0.000000000
   151     0.003573408    -0.004391468      0.000000000     0.000000000
   152     0.003151774    -0.004210640      0.000000000     0.000000000
   153     0.002972844    -0.004159836      0.000000000     0.000000000
   154     0.008798110     0.001046068      0.000000000     0.000000000
   155     0.008712069     0.001251233      0.000000000     0.000000000
   156     0.008598456     0.001462532      0.000000000     0.000000000
   157     0.008485223     0.001683295      0.000000000     0.000000000
   158     0.008589492     0.000911277      0.000000000     0.000000000
   159     0.003631756    -0.004217108      0.000000000     0.000000000
   160     0.003417454    -0.004185530      0.000000000     0.000000000
   161     0.003301332    -0.004042394      0.000000000     0.000000000
   162     0.003153985    -0.004032545      0.000000000     0.000000000
   163     0.003002085    -0.003967284      0.000000000     0.000000000
   164     0.008509733     0.001097140      0.000000000     0.000000000
   165     0.008408708     0.001265255      0.000000000     0.000000000
   166     0.008320200     0.001428136      0.000000000     0.000000000
   167     0.008237638     0.001606398      0.000000000     0.000000000
   168     0.008372736     0.000769613      0.000000000     0.000000000
   169     0.008288909     0.000963198      0.000000000     0.000000000
   170     0.003692397    -0.004037347      0.000000000     0.000000000
   171     0.003506225    -0.003985809      0.000000000     0.000000000
   172     0.003336181    -0.003912888      0.000000000     0.000000000
   173     0.003174093    -0.003841933      0.000000000     0.000000000
   174     0.003034871    -0.003774424      0.000000000     0.000000000
   175     0.008151555     0.000624950      0.000000000     0.000000000
   176     0.008186812     0.001145184      0.000000000     0.000000000
   177     0.008085225     0.001319917      0.000000000     0.000000000
   178     0.007989482     0.001518954      0.000000000     0.000000000
   179     0.008070415     0.000818787      0.000000000     0.000000000
   180     0.007982289     0.001007283      0.000000000     0.000000000
   181     0.003752277    -0.003854010      0.000000000     0.000000000
   182     0.003555367    -0.003802269      0.000000000     0.000000000
   183     0.003376189    -0.003737340      0.000000000     0.000000000
   184     0.003212902    -0.003661929      0.000000000     0.000000000
   185     0.003068771    -0.003581686      0.000000000     0.000000000
   186     0.007740560     0.001425744      0.000000000     0.000000000
   187     0.007845905     0.000666642      0.000000000     0.000000000
   188     0.007927357     0.000478357      0.000000000     0.000000000
   189     0.007818008     0.001189270      0.000000000     0.000000000
   190     0.007770017     0.000839611      0.000000000     0.000000000
   191     0.007711325     0.000966468      0.000000000     0.000000000
   192     0.003811177    -0.003669211      0.000000000     0.000000000
   193     0.003606117    -0.003618646      0.000000000     0.000000000
   194     0.003420053    -0.003554510      0.000000000     0.000000000
   195     0.003252514    -0.003476227      0.000000000     0.000000000
   196     0.003103066    -0.003389004      0.000000000     0.000000000
   197     0.007701034     0.000331016      0.000000000     0.000000000
   198     0.007492858     0.001325928      0.000000000     0.000000000
   199     0.007514486     0.001117001      0.000000000     0.000000000
   200     0.007530803     0.000697626      0.000000000     0.000000000
   201     0.007610363     0.000521291      0.000000000     0.000000000
   202     0.007497724     0.000897633      0.000000000     0.000000000
   203     0.007247753     0.001221184      0.000000000     0.000000000
   204     0.007006120     0.001113886      0.000000000     0.000000000
   205     0.003869047    -0.003482778      0.000000000     0.000000000
   206     0.003925361    -0.003295121      0.000000000     0.000000000
   207     0.003657651    -0.003433149      0.000000000     0.000000000
   208     0.003465562    -0.003367908      0.000000000     0.000000000
   209     0.003294040    -0.003287496      0.000000000     0.000000000
   210     0.003137739    -0.003196909      0.000000000     0.000000000
   211     0.007474072     0.000184527      0.000000000     0.000000000
   212     0.007375551     0.000382814      0.000000000     0.000000000
   213     0.007254165     0.000995149      0.000000000     0.000000000
   214     0.007237384     0.000777728      0.000000000     0.000000000
   215     0.007282505     0.000578181      0.000000000     0.000000000
   216     0.007014709     0.000910380      0.000000000     0.000000000
   217     0.006821573     0.000878742      0.000000000     0.000000000
   218     0.006769405     0.001004296      0.000000000     0.000000000
   219     0.003979540    -0.003106588      0.000000000     0.000000000
   220     0.003758113    -0.003066254      0.000000000     0.000000000
   221     0.003706825    -0.003246708      0.000000000     0.000000000
   222     0.003510207    -0.003181233      0.000000000     0.000000000
   223     0.003332852    -0.003100189      0.000000000     0.000000000
   224     0.003172145    -0.003005985      0.000000000     0.000000000
   225     0.007247504     0.000039856      0.000000000     0.000000000
   226     0.007021963    -0.000102313      0.000000000     0.000000000
   227     0.007147351     0.000244450      0.000000000     0.000000000
   228     0.007035478     0.000446256      0.000000000     0.000000000
   229     0.006927608     0.000648037      0.000000000     0.000000000
   230     0.006679007     0.000707386      0.000000000     0.000000000
   231     0.006537676     0.000893723      0.000000000     0.000000000
   232     0.004030987    -0.002917507      0.000000000     0.000000000
